"","State","Longitude","Latitude"
"2","alabama",-87.4620056152344,30.3896808624268
"3","alabama",-87.4849319458008,30.3724918365479
"4","alabama",-87.525032043457,30.3724918365479
"5","alabama",-87.53076171875,30.3323860168457
"6","alabama",-87.5708694458008,30.3266544342041
"7","alabama",-87.5880584716797,30.3266544342041
"8","alabama",-87.5937881469727,30.3094673156738
"9","alabama",-87.5937881469727,30.286548614502
"10","alabama",-87.6740036010742,30.275089263916
"11","alabama",-87.8115158081055,30.2579021453857
"12","alabama",-87.8802642822266,30.2464408874512
"13","alabama",-87.9203720092773,30.2464408874512
"14","alabama",-87.9547500610352,30.2464408874512
"15","alabama",-88.0063171386719,30.2407131195068
"16","alabama",-88.0177764892578,30.2521705627441
"17","alabama",-88.0120468139648,30.269359588623
"18","alabama",-87.994857788086,30.275089263916
"19","alabama",-87.9547500610352,30.275089263916
"20","alabama",-87.9031829833984,30.2808208465576
"21","alabama",-87.8286972045898,30.286548614502
"22","alabama",-87.8000564575195,30.286548614502
"23","alabama",-87.8000564575195,30.3266544342041
"24","alabama",-87.8172378540039,30.3438453674316
"25","alabama",-87.8401565551758,30.3839530944824
"26","alabama",-87.8516235351562,30.4011421203613
"27","alabama",-87.8745346069336,30.4125995635986
"28","alabama",-87.9031829833984,30.4240608215332
"29","alabama",-87.9261016845703,30.4469795227051
"30","alabama",-87.9318313598633,30.4928131103516
"31","alabama",-87.9432907104492,30.527193069458
"32","alabama",-87.9203720092773,30.5615692138672
"33","alabama",-87.9146423339844,30.5844879150391
"34","alabama",-87.9261016845703,30.6188640594482
"35","alabama",-87.9203720092773,30.670431137085
"36","alabama",-87.9490203857422,30.6990776062012
"37","alabama",-87.989128112793,30.7907524108887
"38","alabama",-88.0063171386719,30.7964820861816
"39","alabama",-88.0177764892578,30.802209854126
"40","alabama",-88.0349655151367,30.7907524108887
"41","alabama",-88.0464248657227,30.7563762664795
"42","alabama",-88.0521545410156,30.727725982666
"43","alabama",-88.0521545410156,30.7105388641357
"44","alabama",-88.063606262207,30.6876201629639
"45","alabama",-88.0693435668945,30.6818885803223
"46","alabama",-88.0808029174805,30.6303253173828
"47","alabama",-88.0808029174805,30.6131362915039
"48","alabama",-88.0979919433594,30.6074066162109
"49","alabama",-88.1094436645508,30.5959453582764
"50","alabama",-88.1151809692383,30.5844879150391
"51","alabama",-88.1094436645508,30.5558376312256
"52","alabama",-88.1209106445312,30.4813556671143
"53","alabama",-88.1209106445312,30.4412479400635
"54","alabama",-88.1266403198242,30.3896808624268
"55","alabama",-88.1323699951172,30.3610343933105
"56","alabama",-88.1438293457031,30.3438453674316
"57","alabama",-88.161018371582,30.3381156921387
"58","alabama",-88.172477722168,30.3381156921387
"59","alabama",-88.1896591186523,30.3553047180176
"60","alabama",-88.2240447998047,30.3782234191895
"61","alabama",-88.2354965209961,30.3954105377197
"62","alabama",-88.2870635986328,30.4011421203613
"63","alabama",-88.3157119750977,30.4011421203613
"64","alabama",-88.3329010009766,30.4011421203613
"65","alabama",-88.35009765625,30.4240608215332
"66","alabama",-88.3902053833008,30.4125995635986
"67","alabama",-88.3902053833008,30.4125995635986
"68","alabama",-88.4073867797852,30.7334575653076
"69","alabama",-88.4188461303711,30.9970169067383
"70","alabama",-88.430305480957,31.123067855835
"71","alabama",-88.4532241821289,31.432466506958
"72","alabama",-88.4646835327148,31.6960258483887
"73","alabama",-88.4761428833008,31.8908290863037
"74","alabama",-88.430305480957,32.22314453125
"75","alabama",-88.430305480957,32.3090896606445
"76","alabama",-88.3902053833008,32.5783805847168
"77","alabama",-88.35009765625,32.9221534729004
"78","alabama",-88.3386306762695,32.985179901123
"79","alabama",-88.2985305786133,33.2831192016602
"80","alabama",-88.2756042480469,33.5294914245605
"81","alabama",-88.2526931762695,33.7357559204102
"82","alabama",-88.2068557739258,34.0623397827148
"83","alabama",-88.2068557739258,34.0795288085938
"84","alabama",-88.1839370727539,34.3144416809082
"85","alabama",-88.166748046875,34.4634094238281
"86","alabama",-88.1495513916016,34.5837326049805
"87","alabama",-88.1094436645508,34.8988571166992
"88","alabama",-88.1323699951172,34.9045906066895
"89","alabama",-88.166748046875,34.9504280090332
"90","alabama",-88.1896591186523,34.996265411377
"91","alabama",-88.1896591186523,34.996265411377
"92","alabama",-88.1839370727539,35.0134506225586
"93","alabama",-87.989128112793,35.0134506225586
"94","alabama",-87.6052474975586,35.0077209472656
"95","alabama",-87.2270965576172,35.0019912719727
"96","alabama",-87.2041702270508,35.0019912719727
"97","alabama",-86.8260269165039,34.996265411377
"98","alabama",-86.7801895141602,34.9905319213867
"99","alabama",-86.3103637695312,34.9905319213867
"100","alabama",-85.8519973754883,34.9848022460938
"101","alabama",-85.6113510131836,34.9790725708008
"102","alabama",-85.6113510131836,34.9790725708008
"103","alabama",-85.5884399414062,34.8415641784668
"104","alabama",-85.5426025390625,34.6181106567383
"105","alabama",-85.525405883789,34.5837326049805
"106","alabama",-85.4681167602539,34.2628746032715
"107","alabama",-85.4280090332031,34.0795288085938
"108","alabama",-85.4050903320312,33.9592094421387
"109","alabama",-85.3936309814453,33.907642364502
"110","alabama",-85.3477935791016,33.6612701416016
"111","alabama",-85.3134155273438,33.4951095581055
"112","alabama",-85.2962265014648,33.4320907592773
"113","alabama",-85.2446594238281,33.1169624328613
"114","alabama",-85.2389297485352,33.1054992675781
"115","alabama",-85.1930923461914,32.8705902099609
"116","alabama",-85.1930923461914,32.8591270446777
"117","alabama",-85.170181274414,32.8419418334961
"118","alabama",-85.1472549438477,32.7903747558594
